69, 2, 4, 1
69, 2, 4, 3
69, 1, 5, 1
66, 2, 6, 1
66, 2, 6, 3
69, 2, 8, 1
69, 2, 8, 3
71, 1, 9, 1
66, 2, 10, 1
66, 2, 10, 3
62, 2, 12, 1
64, 2, 12, 3
66, 2, 13, 1
69, 1, 13, 3
66, 2, 15, 1
64, 2, 15, 3
66, 2, 16, 1
67, 2, 16, 3
66, 2, 15, 1
64, 1, 15, 3
69, 2, 17, 1
69, 2, 17, 3
69, 1, 18, 1
66, 2, 19, 1
66, 2, 19, 3
69, 2, 21, 1
69, 2, 21, 3
71, 1, 22, 1
66, 2, 23, 1
66, 2, 23, 3
62, 2, 25, 1
64, 2, 25, 3
66, 2, 26, 1
69, 1, 26, 3
66, 2, 28, 1
64, 2, 28, 3
66, 2, 29, 1
67, 2, 29, 3
66, 2, 30, 1
64, 1, 30, 3
71, 2, 32, 1
73, 2, 32, 3
74, 2, 33, 1
75, 2, 33, 3
71, 1, 34, 1
74, 2, 35, 1
73, 2, 35, 3
71, 2, 36, 1
69, 2, 36, 3
69, 2, 37, 1
71, 1, 37, 3
71, 2, 39, 1
73, 2, 39, 3
74, 2, 39, 1
75, 2, 39, 3
71, 1, 39, 1
74, 2, 40, 1
73, 2, 40, 3
74, 2, 41, 1
73, 2, 41, 3
74, 2, 42, 1
76, 1, 42, 3
78, 1, 44, 1
78, 1, 45, 1
78, 2, 46, 1
79, 2, 46, 3
78, 2, 47, 1
74, 2, 47, 3
76, 1, 48, 1
76, 1, 49, 1
76, 2, 50, 1
78, 2, 50, 3
76, 2, 51, 1
73, 2, 51, 3
74, 2, 52, 1
73, 2, 52, 3
71, 2, 53, 1
69, 2, 53, 3
74, 2, 54, 1
73, 2, 54, 3
71, 2, 55, 1
69, 2, 55, 3
71, 1, 56, 1
73, 1, 57, 1
74, 1, 58, 1
79, 1, 59, 1
78, 1, 60, 1
78, 1, 61, 1
78, 2, 62, 1
79, 2, 62, 3
78, 2, 63, 1
74, 2, 63, 3
76, 1, 64, 1
76, 1, 64, 1
76, 2, 65, 1
78, 2, 65, 3
76, 2, 66, 1
73, 2, 66, 3
74, 2, 67, 1
73, 2, 67, 3
71, 2, 68, 1
69, 2, 68, 3
74, 2, 69, 1
73, 2, 69, 3
71, 2, 70, 1
69, 2, 70, 3
71, 1, 71, 1
67, 2, 72, 1
67, 2, 72, 3
67, 2, 73, 1
66, 2, 73, 3
66, 0.5, 74, 1
